account_id,customer_id,account_type,open_date,balance,branch
501996,2339,Current,2024-01-08,0,Bangalore-Main
502416,2617,Salary,2024-01-11,0,Pune-Central
500866,1579,Salary,2024-01-01,0,Pune-Main
500588,1388,Fixed Deposit,2024-01-16,0,Hyderabad-South
501516,2017,Salary,2024-01-19,0,Bangalore-Main
501328,1891,Fixed Deposit,2024-01-20,0,Hyderabad-Main
501939,2308,Savings,2024-01-23,0,Bangalore-Main
502437,2631,Savings,2024-01-27,0,Hyderabad-South
502905,2938,Fixed Deposit,2024-01-30,0,Unknown
502692,2796,Current,2024-02-01,0,Bangalore-Main
501045,0,Savings,2024-02-01,0,Pune-Main
502898,2934,Salary,2024-02-03,0,Mumbai-Main
502556,0,Savings,2024-02-09,0,Pune-Main
501675,2121,Unknown,2024-02-11,0,Bangalore-Main
502134,2431,Salary,2024-02-13,0,Pune-Central
500466,1303,Unknown,2024-02-17,0,Hyderabad-South
500069,1045,Unknown,2024-02-18,0,Bangalore-Main
501570,2056,Fixed Deposit,2024-02-20,0,Pune-Main
501099,1738,Current,2024-02-22,0,Mumbai-West
501061,1711,Salary,2024-02-26,0,Unknown
502281,2528,Salary,2024-03-16,0,Hyderabad-Main
500914,1612,Current,2024-03-17,0,Bangalore-East
500957,1639,Savings,2024-03-18,0,Hyderabad-South
502082,2396,Current,2024-03-23,0,Unknown
501704,2142,Salary,2024-03-26,0,Delhi-North
502932,2957,Current,2024-03-29,0,Mumbai-Main
502958,2973,Unknown,2024-04-05,0,Pune-Central
502744,2833,Current,2024-04-05,0,Mumbai-Main
501439,1961,Fixed Deposit,2024-04-05,0,Chennai-North
502986,2991,Salary,2024-04-10,0,Mumbai-Main
502662,2777,Fixed Deposit,2024-04-20,0,Chennai-Main
500019,1013,Savings,2024-04-22,0,Pune-Central
501434,1958,Fixed Deposit,2024-04-22,0,Delhi-Main
500185,1115,Fixed Deposit,2024-04-26,0,Hyderabad-Main
502168,2455,Unknown,2024-05-08,0,Mumbai-West
500102,1064,Savings,2024-05-09,0,Unknown
501021,1681,Savings,2024-05-17,0,Bangalore-East
501278,0,Savings,2024-05-17,0,Unknown
501428,0,Salary,2024-05-22,0,Pune-Central
501696,0,Salary,2024-05-25,0,Mumbai-West
502818,2880,Current,2024-05-28,0,Mumbai-West
