transaction_id,account_id,transaction_date,transaction_time,transaction_type,amount,balance_after_transaction,merchant_category
1000,0,2024-01-01,12:00:00 AM,Transfer,0,0,Dining
3530,0,2024-02-07,07:04:17 AM,Withdrawal,0,0,Bills
6390,0,2024-02-07,12:45:09 PM,Withdrawal,11194,0,Groceries
6820,0,2024-02-08,12:00:00 AM,Unknown,0,0,Shopping
1941,0,2024-02-11,03:53:23 AM,Deposit,21350,0,Shopping
6068,0,2024-02-18,12:05:18 PM,Transfer,45231,0,Dining
9065,0,2024-02-18,06:07:39 PM,Transfer,33134,0,Travel
404,0,2024-03-01,12:45:34 AM,Withdrawal,24759,0,Travel
10929,0,2024-01-01,09:48:03 PM,Deposit,12326,0,Groceries
9319,0,2024-03-13,06:39:18 PM,Transfer,4544,0,Groceries
6913,0,2024-03-28,01:51:10 PM,Transfer,45879,0,Groceries
3413,0,2024-03-30,12:00:00 AM,Transfer,33952,0,Dining
492,0,2024-04-03,12:56:58 AM,Withdrawal,31603,0,Shopping
9026,0,2024-04-07,06:03:14 PM,Withdrawal,7862,0,Groceries
7149,0,2024-04-15,02:18:42 PM,Transfer,17699,0,Shopping
1038,0,2024-04-18,02:02:52 AM,Transfer,31108,0,Bills
856,0,2024-01-01,01:41:56 AM,Unknown,272,0,Travel
11982,0,2024-04-24,12:00:00 AM,Withdrawal,3882,0,Dining
10824,0,2024-05-05,09:34:54 PM,Transfer,7028,0,Unknown
3559,0,2024-05-14,07:08:24 AM,Transfer,0,0,Bills
3804,0,2024-05-16,12:00:00 AM,Deposit,25129,0,Dining
10911,0,2024-05-20,09:46:10 PM,Transfer,46230,0,Dining
6654,0,2024-06-13,01:18:07 PM,Deposit,42950,0,Travel
11449,0,2024-06-13,10:49:31 PM,Transfer,30794,0,Groceries
4234,0,2024-06-17,08:23:24 AM,Deposit,21569,0,Groceries
9548,0,2024-07-09,07:06:40 PM,Withdrawal,24184,0,Travel
6985,0,2024-07-22,01:59:21 PM,Unknown,11423,0,Unknown
11591,0,2024-07-22,12:00:00 AM,Deposit,45496,0,Groceries
